estacion_verano,estacion_otoño,estacion_invierno,estacion_primavera,temperat_2m,runoff_sum,volumetric_soil_water_layer_1,precipitation_sum_open_meteo,precipitation_d_1,precipitation_d_2,precipitation_d_3,precipitation_d_4,precipitation_d_5,precipitation_d_6,suelo_roca,suelo_entisoles,suelo_miscelaneas,suelo_molisoles,suelo_aridisoles,suelo_complejo_indiferenci,suelo_lagunas,suelo_alfisoles,suelo_inceptisoles,suelo_rio,suelo_salinas,suelo_ultisoles,suelo_vertisoles,suelo_medano,suelo_esteros,inundacion
1,0,0,0,298.5,0.012,0.25,45.2,8.5,12.3,7.1,5.8,6.2,5.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
1,0,0,0,301.2,0.008,0.18,22.7,3.2,5.1,4.8,3.6,2.9,3.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
0,1,0,0,288.3,0.045,0.38,156.8,42.5,38.2,28.6,22.1,15.3,10.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,0,1,0,276.8,0.028,0.42,98.4,18.3,22.7,19.5,16.2,12.8,8.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
0,0,0,1,290.5,0.035,0.35,112.3,25.4,28.9,23.5,18.7,10.2,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,1,0,0,285.2,0.062,0.45,203.5,55.8,48.3,42.1,31.2,18.5,7.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,True
1,0,0,0,303.8,0.005,0.15,8.3,1.2,2.1,1.8,1.5,0.9,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
0,0,1,0,279.1,0.051,0.48,178.9,38.5,41.2,35.8,29.6,22.3,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True
0,0,0,1,293.6,0.022,0.31,67.5,15.2,18.3,12.8,9.7,7.3,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
1,0,0,0,299.7,0.015,0.22,38.6,7.8,9.2,8.5,6.3,4.1,2.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
0,1,0,0,287.4,0.058,0.43,189.2,48.7,45.3,38.9,30.5,17.8,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
0,0,1,0,274.3,0.041,0.46,145.7,32.5,35.8,28.3,24.1,16.7,8.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True
0,0,0,1,291.8,0.019,0.28,54.8,11.3,14.6,10.9,8.5,6.2,3.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
1,0,0,0,300.5,0.009,0.19,18.5,2.8,4.3,3.7,3.1,2.5,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
0,1,0,0,286.9,0.048,0.40,167.3,44.2,39.8,33.5,26.8,15.2,7.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
